Run,BioSample,Collection_Date,Depth,geo_loc_name,Lat_Lon,Source_material_ID
SRR9106059,SAMN11808462,2015-03-16,Surface,USA: Granite Mountian,34.78 N 115.63 W,GMT.SMC
SRR9106060,SAMN11808463,2015-03-16,Surface,USA: Granite Mountian,34.78 N 115.63 W,GMT.RMC
SRR9106061,SAMN11808464,2015-03-16,Subsurface,USA: CIMA,35.19 N 115.87 W,CIMA.CLC.SUB
SRR9106062,SAMN11808476,2015-03-16,Subsurface,USA: Granite Mountian,34.78 N 115.63 W,KELSO.LAC.SUB
SRR9106063,SAMN11808475,2015-03-16,Subsurface,USA: Granite Mountian,34.78 N 115.63 W,KELSO.GLC.SUB
SRR9106064,SAMN11808443,2017-03-31,Surface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch7SF
SRR9106065,SAMN11808444,2017-03-31,Subsurface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch7Sub
SRR9106066,SAMN11808441,2017-03-31,Surface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch6SF
SRR9106067,SAMN11808442,2017-03-31,Subsurface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch6Sub
SRR9106068,SAMN11808447,2017-03-31,Surface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch9SF
SRR9106069,SAMN11808448,2017-03-31,Subsurface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch9Sub
SRR9106070,SAMN11808445,2017-03-31,Surface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch8SF
SRR9106071,SAMN11808446,2017-03-31,Subsurface,USA: Joshua Tree National Park,34.10 N 115.45 W,NPMarch8Sub
SRR9106072,SAMN11808449,2015-03-16,Surface,USA: CIMA,35.19 N 115.87 W,CIMA.LAC
SRR9106073,SAMN11808450,2015-03-16,Surface,USA: CIMA,35.19 N 115.87 W,CIMA.CLC
