Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,Source_material_ID,SRA Study
SRR9106059,AMPLICON,601,112490323,PRJNA544067,SAMN11808462,"MIMS.me,MIGS/MIMS/MIMARKS.soil",73352405,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880802,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.SMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.SMC,GMT.SMC,SRP199138
SRR9106060,AMPLICON,601,110897213,PRJNA544067,SAMN11808463,"MIMS.me,MIGS/MIMS/MIMARKS.soil",72795755,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Surface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880801,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,GMT.RMC,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.RMC,GMT.RMC,SRP199138
SRR9106061,AMPLICON,588,117655089,PRJNA544067,SAMN11808464,"MIMS.me,MIGS/MIMS/MIMARKS.soil",66799462,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Subsurface,758 m,Mojave Desert,Mojave Desert,Desert,SRX5880800,USA,North America,USA: CIMA,Illumina MiSeq,35.19 N 115.87 W,CIMA.CLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,CIMA.CLC.SUB,CIMA.CLC.SUB,SRP199138
SRR9106062,AMPLICON,500,16060981,PRJNA544067,SAMN11808476,"MIMS.me,MIGS/MIMS/MIMARKS.soil",10200394,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880799,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.LAC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:49:00Z,1,Sterile metal spatula,KELSO.LAC.SUB,KELSO.LAC.SUB,SRP199138
SRR9106063,AMPLICON,583,111037174,PRJNA544067,SAMN11808475,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63469864,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880798,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.GLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.GLC.SUB,KELSO.GLC.SUB,SRP199138
SRR9106064,AMPLICON,601,128537597,PRJNA544067,SAMN11808443,"MIMS.me,MIGS/MIMS/MIMARKS.soil",80323119,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880797,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch7SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch7SF,NPMarch7SF,SRP199138
SRR9106065,AMPLICON,601,52566410,PRJNA544067,SAMN11808444,"MIMS.me,MIGS/MIMS/MIMARKS.soil",34509560,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880796,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch7Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:49:00Z,1,Sterile metal spatula,NPMarch7Sub,NPMarch7Sub,SRP199138
SRR9106066,AMPLICON,601,93241859,PRJNA544067,SAMN11808441,"MIMS.me,MIGS/MIMS/MIMARKS.soil",59642873,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880795,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch6SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch6SF,NPMarch6SF,SRP199138
SRR9106067,AMPLICON,601,91389820,PRJNA544067,SAMN11808442,"MIMS.me,MIGS/MIMS/MIMARKS.soil",59649107,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880794,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch6Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch6Sub,NPMarch6Sub,SRP199138
SRR9106068,AMPLICON,601,115710124,PRJNA544067,SAMN11808447,"MIMS.me,MIGS/MIMS/MIMARKS.soil",74259201,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880793,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch9SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch9SF,NPMarch9SF,SRP199138
