SampleID	Locus	Flowcell	Site	Site_layer	Layer	Soil_type	Soil_type_layer	Crust_type	Sampling_month	Sampling_Date
SRR9106059	ITS	TBD	GMT	GMT_SF	Surface	Granite	Granite_SF	SMC	March_2015	3/16/15
SRR9106060	ITS	TBD	GMT	GMT_SF	Surface	Granite	Granite_SF	RMC	March_2015	3/16/15
SRR9106061	ITS	TBD	CIMA	CIMA_Sub	Subsurface	Volcanic	Volcanic_Sub	CLC.Sub	March_2016	3/17/15
SRR9106062	ITS	TBD	KELSO	KELSO_SF	Surface	Sand	Sand_SF	LAC	March_2017	3/18/15
SRR9106063	ITS	TBD	KELSO	KELSO_SF	Surface	Sand	Sand_SF	GLC	March_2018	3/19/15
SRR9106064	ITS	TBD	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	March_2019	3/20/15
SRR9106065	ITS	TBD	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	March_2020	3/21/15
SRR9106066	ITS	TBD	JTNP	JTNP_SF	Surface	Granite	Granite_SF	CLC	March_2021	3/22/15
SRR9106067	ITS	TBD	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	CLC.Sub	March_2022	3/23/15
SRR9106068	ITS	TBD	JTNP	JTNP_SF	Surface	Granite	Granite_SF	GLC	March_2023	3/24/15
SRR9106069	ITS	TBD	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	GLC.Sub	March_2024	3/25/15
SRR9106070	ITS	TBD	JTNP	JTNP_SF	Surface	Granite	Granite_SF	LAC	March_2025	3/26/15
SRR9106071	ITS	TBD	JTNP	JTNP_Sub	Subsurface	Granite	Granite_Sub	LAC.Sub	March_2026	3/27/15
SRR9106072	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	LAC	March_2027	3/28/15
SRR9106073	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	CLC	March_2028	3/29/15
SRR9106074	ITS	TBD	GMT	GMT_Sub	Subsurface	Sand	Sand_SF	CLC.Sub	March_2029	3/30/15
SRR9106075	ITS	TBD	GMT	GMT_SF	Surface	Granite	Granite_SF	CLC	March_2030	3/31/15
SRR9106076	ITS	TBD	GMT	GMT_SF	Surface	Granite	Granite_SF	LAC	March_2031	4/1/15
