"Phylum"	"meanRA"	"sdRA"	"minRA"	"maxRA"
"1"	"Basidiomycota"	0.305686573863925	0.0590271676030471	0.000149454491107458	0.979808010592519
"2"	"Ascomycota"	0.642144226343922	0.0335198168452765	0.000149454491107458	0.657961964235027
"3"	"Blastocladiomycota"	0.00166825205230477	0.00231322573678612	0.000151630022744503	0.012987012987013
"4"	NA	0.0411157970613868	0.0200385401337157	0.000149454491107458	0.317957166392092
"5"	"Glomeromycota"	0.000750695835249896	0.000833461042160355	0.000149454491107458	0.00632911392405063
"6"	"Basidiobolomycota"	0.00218463566384918	0.00525130020269827	0.00015701051970482	0.0197693574958814
"7"	"Rozellomycota"	0.000570059852989618	0.011724930692254	0.000154344806297268	0.033955857385399
"8"	"Mortierellomycota"	0.00521540211511061	0.0176198052970359	0.000151745068285281	0.125796178343949
"9"	"Mucoromycota"	0.000275589887164689	0.00145323785208479	0.000153798831128883	0.00421940928270042
"10"	"Olpidiomycota"	0.000291982589712447	0.00583124255419887	0.000605693519079346	0.0152671755725191
"11"	"Chytridiomycota"	2.82338888134009e-05	0.000214184940425325	0.000155110904296572	0.000593824228028504
"12"	"Calcarisporiellomycota"	6.63078381473043e-05	0.000998428395903296	0.000398089171974522	0.00220264317180617
"13"	"Entorrhizomycota"	2.24300742435457e-06	NA	0.00015701051970482	0.00015701051970482
