	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	NA	NA	NA	NA	NA	NA	NA
ASV2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV5	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA
ASV6	NA	NA	NA	NA	NA	NA	NA
ASV7	NA	NA	NA	NA	NA	NA	NA
ASV8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV12	NA	NA	NA	NA	NA	NA	NA
ASV13	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV14	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV15	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV16	NA	NA	NA	NA	NA	NA	NA
ASV17	NA	NA	NA	NA	NA	NA	NA
ASV18	NA	NA	NA	NA	NA	NA	NA
ASV19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV20	NA	NA	NA	NA	NA	NA	NA
ASV21	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiorum
ASV22	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV24	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV26	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum
ASV27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	NA	NA
ASV28	NA	NA	NA	NA	NA	NA	NA
ASV29	NA	NA	NA	NA	NA	NA	NA
ASV30	NA	NA	NA	NA	NA	NA	NA
ASV31	NA	NA	NA	NA	NA	NA	NA
ASV32	NA	NA	NA	NA	NA	NA	NA
ASV33	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV34	NA	NA	NA	NA	NA	NA	NA
ASV35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia	Dothidotthia symphoricarpi
ASV37	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV38	NA	NA	NA	NA	NA	NA	NA
ASV39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV40	NA	NA	NA	NA	NA	NA	NA
ASV41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV42	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV43	NA	NA	NA	NA	NA	NA	NA
ASV44	NA	NA	NA	NA	NA	NA	NA
ASV45	NA	NA	NA	NA	NA	NA	NA
ASV46	NA	NA	NA	NA	NA	NA	NA
ASV47	NA	NA	NA	NA	NA	NA	NA
ASV48	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV49	NA	NA	NA	NA	NA	NA	NA
ASV50	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
ASV51	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV52	NA	NA	NA	NA	NA	NA	NA
ASV53	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV54	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV55	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	NA
ASV56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV57	NA	NA	NA	NA	NA	NA	NA
ASV58	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV59	NA	NA	NA	NA	NA	NA	NA
ASV60	NA	NA	NA	NA	NA	NA	NA
ASV61	Fungi	NA	NA	NA	NA	NA	NA
ASV62	NA	NA	NA	NA	NA	NA	NA
ASV63	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
ASV64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV65	Fungi	NA	NA	NA	NA	NA	NA
ASV66	NA	NA	NA	NA	NA	NA	NA
ASV67	NA	NA	NA	NA	NA	NA	NA
ASV68	NA	NA	NA	NA	NA	NA	NA
ASV69	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiorum
ASV70	NA	NA	NA	NA	NA	NA	NA
ASV71	NA	NA	NA	NA	NA	NA	NA
ASV72	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
ASV73	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV74	NA	NA	NA	NA	NA	NA	NA
ASV75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV76	NA	NA	NA	NA	NA	NA	NA
ASV77	NA	NA	NA	NA	NA	NA	NA
ASV78	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula patellata
ASV79	NA	NA	NA	NA	NA	NA	NA
ASV80	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
