"Phylum"	"meanRA"	"sdRA"	"minRA"	"maxRA"
"1"	"Basidiomycota"	0.383590615984092	0.0340994318118838	0.00012643823492224	0.698950562650145
"2"	NA	0.14588673433028	0.00282996517351277	0.00012643823492224	0.179542293589581
"3"	"Ascomycota"	0.453850044253382	0.0161437188930748	0.00012643823492224	0.47856871918068
"4"	"Cercozoa"	0.00513799009184014	0.00135754794106958	0.00012643823492224	0.013149576431913
"5"	"Glomeromycota"	0.0012816239267118	0.000499467100935129	0.00012643823492224	0.00518396763181186
"6"	"Blastocladiomycota"	0.000775870987022839	0.000437702331560499	0.00012643823492224	0.00265520293336705
"7"	"Basidiobolomycota"	0.000689663099575857	0.00224659889684246	0.00012643823492224	0.00568972057150082
"8"	"Haplosporidia"	0.00123564638674008	0.00167639399217528	0.00012643823492224	0.00606903527626754
"9"	"Choanoflagellata"	0.00103449464936379	0.00157392569158177	0.00012643823492224	0.00670122645087875
"10"	"Chytridiomycota"	2.29887699858619e-05	0	0.00012643823492224	0.00012643823492224
"11"	"Rozellomycota"	0.0016149610915068	0.00997556363470485	0.00012643823492224	0.03047161461626
"12"	"Mortierellomycota"	0.00462648995965471	0.00922701659113107	0.00012643823492224	0.0398280440005058
"13"	"Anthophyta"	2.87359624823274e-05	8.9405333314774e-05	0.000252876469844481	0.000379314704766721
"14"	"Olpidiomycota"	0.000183910159886895	0.000357621333259096	0.000758629409533443	0.00151725881906689
"15"	"Mucoromycota"	4.02303474752583e-05	0.00044702666657387	0.00012643823492224	0.000758629409533443
