#OTU ID	SRR9106059	SRR9106060	SRR9106061	SRR9106062	SRR9106063	SRR9106064	SRR9106065	SRR9106066	SRR9106067	SRR9106068	SRR9106069	SRR9106070	SRR9106071	SRR9106072	SRR9106073	SRR9106074	SRR9106075	SRR9106076	SRR9106077	SRR9106078	SRR9106079	SRR9106080	SRR9106081	SRR9106082	SRR9106083	SRR9106084	SRR9106085	SRR9106086	SRR9106087	SRR9106088	SRR9106089	SRR9106090	SRR9106091	SRR9106092	SRR9106093	SRR9106094	SRR9106095	SRR9106096	SRR9106097	SRR9106098	SRR9106099	SRR9106100	SRR9106101	SRR9106102	SRR9106103	SRR9106104	SRR9106105	SRR9106106
OTU1	0	5703	24214	0	6359	45661	6105	15560	3351	2261	0	13829	4965	31739	8023	22334	6170	12224	5744	18997	3733	16616	2001	19163	8704	12928	14910	16986	2433	3912	894	2004	14713	1336	2161	11213	0	5810	78675	7094	55868	6987	29683	0	7600	2390	6551	30423
OTU2	0	0	0	0	0	0	0	1095	0	0	0	66106	11884	0	0	0	0	0	0	0	0	0	0	0	0	0	794	0	0	0	0	0	0	0	0	0	0	50251	0	0	0	0	0	0	0	0	0	28750
OTU3	17836	9188	3943	716	1912	7898	0	13886	247	0	0	440	0	5017	0	799	2899	4361	5156	19498	6451	39017	922	2359	38682	2784	1152	5795	1199	0	979	0	248	396	634	0	1248	481	2025	0	10457	0	3904	0	5443	275	3344	4291
OTU4	0	0	0	0	0	0	0	538	0	36421	303	18818	0	0	805	1327	624	0	1180	167	0	0	0	2160	0	1310	3004	0	0	0	0	1007	0	0	0	14180	593	26092	0	0	655	0	247	0	2305	0	0	0
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101883	6777	0	0	4110	0	0	0	0	0	0	0	0	0	0	0	0
OTU6	37677	24989	0	0	0	0	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	19648	23394	0	11616	14413	0	0	9846	0	5468	0	0	0	0	0	0	9583	0	0	0	0	0	0	0	0	0	0	0
OTU7	0	0	0	64	9889	0	0	0	0	0	0	0	0	30225	0	0	0	0	146	117	0	1020	120	25021	12531	1561	0	1383	1890	0	1513	0	122	230	0	0	0	0	0	0	0	0	0	0	0	0	14690	0
OTU8	0	0	0	0	0	65378	307	8779	1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1378
OTU9	0	0	748	0	0	2097	838	149	21437	0	4362	0	5457	2183	0	0	0	0	0	0	214	0	0	0	0	0	0	0	4053	0	0	0	0	0	0	0	0	0	1371	242	0	22734	0	0	0	0	0	0
OTU10	0	0	0	0	0	0	0	388	0	20676	155	13710	0	0	624	873	625	173	858	143	0	0	0	1213	0	806	2272	0	0	0	0	1481	0	0	0	8823	540	18277	0	0	486	0	216	0	1228	120	0	0
OTU11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17425	0	0	11453	0	0	0	0	0	30106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59546	0	0	7643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	0	0	1364	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	50561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU14	842	1738	1484	0	1065	515	218	1212	354	501	469	3533	1545	1156	531	5721	1823	965	1395	340	606	1735	958	2132	3841	1958	1016	1177	9960	156	946	954	926	163	552	1100	285	5023	516	726	3055	737	1151	784	2039	609	2625	1667
